Model,Replication,Accuracy,F1 Score,ROC AUC,Best Parameters
logistic_regression,1,0.9790,0.9778,0.9931,0.9778,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
random_forest,1,0.9790,0.9796,0.9955,0.9796,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}"
logistic_regression,2,0.9755,0.9747,0.9979,0.9783,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
random_forest,2,0.9615,0.9632,0.9959,0.9536,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}"
logistic_regression,3,0.9860,0.9862,0.9951,0.9931,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
random_forest,3,0.9685,0.9682,0.9940,0.9648,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
logistic_regression,4,0.9755,0.9764,0.9958,0.9864,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
random_forest,4,0.9755,0.9756,0.9983,0.9655,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
logistic_regression,5,0.9825,0.9828,0.9956,0.9862,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
random_forest,5,0.9685,0.9699,0.9968,0.9667,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
logistic_regression,6,0.9790,0.9795,0.9986,0.9931,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
random_forest,6,0.9755,0.9758,0.9928,0.9860,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
logistic_regression,7,0.9720,0.9712,0.9922,1.0000,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
random_forest,7,0.9615,0.9575,0.9966,0.9466,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}"
logistic_regression,8,0.9790,0.9793,0.9952,0.9861,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
random_forest,8,0.9615,0.9625,0.9928,0.9792,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}"
logistic_regression,9,0.9720,0.9716,0.9951,0.9786,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
random_forest,9,0.9685,0.9707,0.9985,0.9490,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
logistic_regression,10,0.9615,0.9611,0.9967,0.9855,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
random_forest,10,0.9441,0.9456,0.9913,0.9205,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
logistic_regression,11,0.9860,0.9854,0.9966,1.0000,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
random_forest,11,0.9650,0.9603,0.9963,0.9680,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
logistic_regression,12,0.9685,0.9693,0.9953,0.9793,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
random_forest,12,0.9825,0.9827,0.9977,0.9726,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}"
logistic_regression,13,0.9790,0.9801,0.9983,0.9867,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
random_forest,13,0.9755,0.9772,0.9970,0.9677,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
logistic_regression,14,0.9790,0.9778,0.9982,0.9778,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
random_forest,14,0.9685,0.9670,0.9904,0.9925,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
logistic_regression,15,0.9720,0.9716,0.9937,0.9856,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
random_forest,15,0.9545,0.9568,0.9931,0.9474,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
